file_name,device_info_serial,start_time,end_time,inPark,WENT_BACK,feeding_event
5965_2023-07-12 04:38:38_2023-07-12 05:12:12.csv,5965,2023-07-12T04:38:38Z,2023-07-12T05:12:12Z,0,1,0
5965_2023-07-14 15:34:27_2023-07-14 16:41:54.csv,5965,2023-07-14T15:34:27Z,2023-07-14T16:37:06Z,0,1,1
5965_2023-07-19 02:22:10_2023-07-19 03:25:19.csv,5965,2023-07-19T02:22:10Z,2023-07-19T03:20:23Z,0,1,0
5965_2023-07-25 03:39:00_2023-07-25 05:26:41.csv,5965,2023-07-25T03:39:00Z,2023-07-25T05:26:41Z,0,1,0
5965_2023-07-26 07:40:54_2023-07-26 08:09:56.csv,5965,2023-07-26T07:40:54Z,2023-07-26T08:09:56Z,0,1,0
5965_2023-07-28 05:03:23_2023-07-28 05:22:05.csv,5965,2023-07-28T05:08:09Z,2023-07-28T05:17:09Z,0,1,0
5965_2023-07-30 03:05:20_2023-07-30 03:59:28.csv,5965,2023-07-30T03:05:20Z,2023-07-30T03:59:28Z,0,1,0
5965_2023-07-30 04:58:08_2023-07-30 05:38:23.csv,5965,2023-07-30T04:58:08Z,2023-07-30T05:38:23Z,0,1,0
5977_2023-06-13 03:31:03_2023-06-13 12:42:22.csv,5977,2023-06-13T03:31:03Z,2023-06-13T12:42:22Z,1,0,0
5979_2023-07-10 20:11:16_2023-07-10 21:26:22.csv,5979,2023-07-10T20:16:15Z,2023-07-10T21:26:22Z,0,1,0
5979_2023-07-19 18:09:51_2023-07-19 19:08:47.csv,5979,2023-07-19T18:19:37Z,2023-07-19T19:08:47Z,0,1,0
5979_2023-07-22 15:40:47_2023-07-22 16:31:25.csv,5979,2023-07-22T15:40:47Z,2023-07-22T16:26:28Z,0,1,0
7087_2023-06-15 11:58:09_2023-06-15 14:40:27.csv,7087,2023-06-15T11:58:09Z,2023-06-15T14:40:27Z,0,1,1
7087_2023-06-17 13:56:13_2023-06-17 16:48:39.csv,7087,2023-06-17T13:56:13Z,2023-06-17T16:28:39Z,0,0,0
7087_2023-06-19 04:18:57_2023-06-19 06:02:34.csv,7087,2023-06-19T04:18:57Z,2023-06-19T06:02:34Z,1,0,0
7087_2023-06-20 10:14:56_2023-06-20 13:47:22.csv,7087,2023-06-20T10:14:56Z,2023-06-20T13:47:22Z,1,0,0
7087_2023-06-21 20:16:29_2023-06-21 21:35:21.csv,7087,2023-06-21T20:16:29Z,2023-06-21T21:35:21Z,0,1,1
7087_2023-06-28 14:54:13_2023-06-28 20:49:25.csv,7087,2023-06-28T14:54:13Z,2023-06-28T20:49:25Z,1,1,1
7087_2023-06-30 14:33:20_2023-06-30 17:05:50.csv,7087,2023-06-30T14:33:20Z,2023-06-30T17:05:50Z,0,1,1
7087_2023-07-01 08:56:54_2023-07-01 10:51:48.csv,7087,2023-07-01T08:56:54Z,2023-07-01T10:51:48Z,0,0,0
7087_2023-07-03 04:41:46_2023-07-03 07:03:04.csv,7087,2023-07-03T04:41:46Z,2023-07-03T07:03:04Z,0,0,0
7087_2023-07-08 12:00:34_2023-07-08 13:52:10.csv,7087,2023-07-08T12:00:34Z,2023-07-08T13:52:10Z,0,0,0
7087_2023-07-10 11:59:24_2023-07-10 16:16:02.csv,7087,2023-07-10T11:59:24Z,2023-07-10T16:16:02Z,1,0,0
7087_2023-07-12 06:24:35_2023-07-12 08:21:55.csv,7087,2023-07-12T06:24:35Z,2023-07-12T08:21:55Z,0,0,0
7087_2023-07-14 07:10:09_2023-07-14 08:51:55.csv,7087,2023-07-14T07:10:09Z,2023-07-14T08:51:55Z,0,0,0
7087_2023-07-15 07:11:59_2023-07-15 08:06:16.csv,7087,2023-07-15T07:11:59Z,2023-07-15T08:06:16Z,1,0,0
7087_2023-07-18 17:01:35_2023-07-18 18:41:17.csv,7087,2023-07-18T17:01:35Z,2023-07-18T18:41:17Z,0,1,1
7087_2023-07-23 03:46:58_2023-07-23 05:12:34.csv,7087,2023-07-23T03:46:58Z,2023-07-23T05:12:34Z,0,1,0
7087_2023-07-24 04:19:28_2023-07-24 09:04:58.csv,7087,2023-07-24T04:19:34Z,2023-07-24T09:04:21Z,0,1,1
7087_2023-07-28 15:04:09_2023-07-28 20:06:09.csv,7087,2023-07-28T15:04:09Z,2023-07-28T20:06:09Z,0,1,1
7087_2023-07-29 04:37:45_2023-07-29 05:37:43.csv,7087,2023-07-29T04:37:45Z,2023-07-29T05:07:41Z,0,1,0
7087_2023-07-29 14:47:55_2023-07-29 19:51:22.csv,7087,2023-07-29T14:47:55Z,2023-07-29T19:51:22Z,0,1,1
7087_2023-07-30 15:34:21_2023-07-30 19:52:39.csv,7087,2023-07-30T15:34:21Z,2023-07-30T19:52:39Z,0,1,1
7087_2023-07-31 15:59:31_2023-07-31 20:02:37.csv,7087,2023-07-31T15:59:31Z,2023-07-31T20:02:37Z,1,1,0
7088_2023-06-16 20:48:12_2023-06-16 22:27:10.csv,7088,2023-06-16T20:48:12Z,2023-06-16T22:27:10Z,0,1,1
7088_2023-07-02 05:27:21_2023-07-02 06:15:20.csv,7088,2023-07-02T05:27:21Z,2023-07-02T06:15:20Z,0,1,0
7088_2023-07-09 15:34:03_2023-07-09 17:05:12.csv,7088,2023-07-09T15:34:03Z,2023-07-09T17:05:12Z,0,1,1
7088_2023-07-11 12:13:50_2023-07-11 12:37:50.csv,7088,2023-07-11T12:13:50Z,2023-07-11T12:37:50Z,0,1,0
7088_2023-07-11 16:29:07_2023-07-11 17:44:30.csv,7088,2023-07-11T16:29:07Z,2023-07-11T17:39:45Z,0,1,1
7088_2023-07-13 13:57:29_2023-07-13 16:38:43.csv,7088,2023-07-13T13:57:29Z,2023-07-13T16:38:43Z,0,1,1
7088_2023-07-18 18:30:45_2023-07-18 19:18:24.csv,7088,2023-07-18T18:30:45Z,2023-07-18T19:18:24Z,0,1,1
7090_2023-06-17 04:12:05_2023-06-17 06:18:12.csv,7090,2023-06-17T04:12:05Z,2023-06-17T06:18:12Z,0,1,1
7090_2023-06-17 18:07:00_2023-06-17 19:00:00.csv,7090,2023-06-17T18:07:50Z,2023-06-17T18:55:16Z,0,1,1
7090_2023-06-17 18:07:50_2023-06-17 19:00:06.csv,7090,2023-06-17T18:07:50Z,2023-06-17T19:00:06Z,0,1,1
7090_2023-06-24 20:11:49_2023-06-24 21:02:19.csv,7090,2023-06-24T20:11:49Z,2023-06-24T21:02:10Z,0,1,0
7090_2023-06-26 05:08:56_2023-06-26 06:35:33.csv,7090,2023-06-26T05:08:56Z,2023-06-26T06:35:33Z,0,1,0
7090_2023-06-30 05:13:03_2023-06-30 05:46:05.csv,7090,2023-06-30T05:13:03Z,2023-06-30T05:46:05Z,0,1,1
7090_2023-07-02 05:29:55_2023-07-02 07:15:28.csv,7090,2023-07-02T05:29:55Z,2023-07-02T07:15:28Z,0,1,1
7090_2023-07-03 03:15:16_2023-07-03 06:22:26.csv,7090,2023-07-03T03:15:16Z,2023-07-03T06:22:26Z,0,1,0
7090_2023-07-04 04:57:11_2023-07-04 06:12:02.csv,7090,2023-07-04T04:57:11Z,2023-07-04T06:12:02Z,0,1,0
7090_2023-07-12 03:36:13_2023-07-12 04:14:57.csv,7090,2023-07-12T03:36:13Z,2023-07-12T04:14:57Z,0,1,0
7090_2023-07-17 08:02:24_2023-07-17 08:35:05.csv,7090,2023-07-17T08:02:36Z,2023-07-17T08:35:05Z,0,1,0
7090_2023-07-26 19:59:25_2023-07-26 21:15:53.csv,7090,2023-07-26T19:59:25Z,2023-07-26T21:15:53Z,0,1,1
7092_2023-06-15 02:43:28_2023-06-15 05:26:07.csv,7092,2023-06-15T02:43:28Z,2023-06-15T05:26:07Z,1,1,0
7092_2023-06-16 00:25:24_2023-06-16 02:09:05.csv,7092,2023-06-16T00:25:24Z,2023-06-16T02:09:05Z,0,1,1
7092_2023-06-16 05:04:22_2023-06-16 06:13:54.csv,7092,2023-06-16T05:09:09Z,2023-06-16T06:09:12Z,0,0,0
7092_2023-06-20 04:19:40_2023-06-20 05:02:47.csv,7092,2023-06-20T04:19:40Z,2023-06-20T05:02:47Z,0,0,0
7092_2023-06-20 20:10:50_2023-06-20 21:06:50.csv,7092,2023-06-20T20:15:38Z,2023-06-20T21:06:50Z,0,1,1
7092_2023-06-21 01:35:57_2023-06-21 02:44:30.csv,7092,2023-06-21T01:35:57Z,2023-06-21T02:44:30Z,0,1,0
7092_2023-06-22 00:02:34_2023-06-22 03:26:21.csv,7092,2023-06-22T00:02:34Z,2023-06-22T03:26:21Z,0,1,1
7092_2023-06-23 00:26:35_2023-06-23 02:41:51.csv,7092,2023-06-23T00:26:35Z,2023-06-23T02:41:51Z,0,1,1
